,gene,Level4,source,Phenotypes
2649,POMK,Congenital muscular dystrophy,gene_panel_207,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 12"
2650,POMT1,Congenital muscular dystrophy,gene_panel_207,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type"
2651,POMT2,Congenital muscular dystrophy,gene_panel_207,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 2 	613150;Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 2 	613156;Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 2 	613158"
2652,SELENON,Congenital muscular dystrophy,gene_panel_207,"Muscular dystrophy, rigid spine, 1, 602771"
2653,SIL1,Congenital muscular dystrophy,gene_panel_207,"Marinesco-Sjogren syndrome, 248800"
2654,SYNE1,Congenital muscular dystrophy,gene_panel_207,"Emery-Dreifuss muscular dystrophy 4, autosomal dominant 	612998;complex phenotypic spectrum ranging from Emery-Dreifuss muscular dystrophy to ataxia (SCA8)"
2655,TMEM5,Congenital muscular dystrophy,gene_panel_207,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type"
2656,TRAPPC11,Congenital muscular dystrophy,gene_panel_207,"congenital muscular dystrophy (CMD), progressive fatty liver and infantile-onset cataract;infantile-onset muscle weakness;Muscular dystrophy, limb-girdle, autosomal recessive 18, 615356"
2800,ACTA1,Congenital myopathy,gene_panel_225,"Myopathy, actin, congenital, with cores, OMIM:161800;Myopathy, actin, congenital, with excess of thin myofilaments, OMIM:161800;Myopathy, congenital, with fiber-type disproportion 1, OMIM:255310;Nemaline myopathy 3, autosomal dominant or recessive, OMIM:161800"
2801,ACTN2,Congenital myopathy,gene_panel_225,Multiple structured Core Disease;progressive early-onset muscle weakness
2802,ADSSL1,Congenital myopathy,gene_panel_225,"Myopathy, distal, 5, 617030"
2803,BIN1,Congenital myopathy,gene_panel_225,"Centronuclear Myopathy, Recessive;Myopathy, centronuclear, autosomal recessive, 255200"
2804,CACNA1S,Congenital myopathy,gene_panel_225,congenital myopathy
2805,CCDC78,Congenital myopathy,gene_panel_225,"Myopathy, centronuclear, 4, 614807"
2806,CFL2,Congenital myopathy,gene_panel_225,"Nemaline myopathy 7, autosomal recessive, 610687;Nemaline Myopathy, Recessive"
2807,COL12A1,Congenital myopathy,gene_panel_225,EDS/myopathy overlap syndrome
2808,COL6A1,Congenital myopathy,gene_panel_225,"Bethlem myopathy 1, OMIM:158810;Ullrich congenital muscular dystrophy 1, OMIM:254090"
2809,COL6A2,Congenital myopathy,gene_panel_225,"Bethlem myopathy, 158810;Ullrich congenital muscular dystrophy, 254090"
2810,COL6A3,Congenital myopathy,gene_panel_225,"Bethlem myopathy, OMIM:158810;Ullrich congenital muscular dystrophy, OMIM:254090"
2811,DNM2,Congenital myopathy,gene_panel_225,"Myopathy, centronuclear, 160150;Charcot-Marie-Tooth disease, axonal, type 2M, 606482"
2812,DOK7,Congenital myopathy,gene_panel_225,"Fetal akinesia deformation sequence, 208150;Myasthenic syndrome, congenital, 10, 254300"
2813,ECEL1,Congenital myopathy,gene_panel_225,"Arthrogryposis, distal, type 5D, 615065"
2814,EPG5,Congenital myopathy,gene_panel_225,vacuolar myopathy?
2815,FKBP14,Congenital myopathy,gene_panel_225,"Ehlers-Danlos syndrome with progressive kyphoscoliosis, myopathy, and hearing loss 6, 14557"
2816,FXR1,Congenital myopathy,gene_panel_225,"Congenital multi-minicore myopathy;?Myopathy, congenital proximal, with minicore lesions #618823;?Myopathy, congenital, with respiratory insufficiency and bone fractures #618822"
2817,KBTBD13,Congenital myopathy,gene_panel_225,"Nemaline Myopathy, Dominant;Nemaline myopathy 6, autosomal dominant, 609273"
2818,KLHL40,Congenital myopathy,gene_panel_225,"Nemaline myopathy 8, autosomal recessive, 615348"
2819,KLHL41,Congenital myopathy,gene_panel_225,"Nemaline myopathy 9, 615731"
2820,LMNA,Congenital myopathy,gene_panel_225,Congenital fiber type disproportion myopathy
2821,LMOD3,Congenital myopathy,gene_panel_225,Nemaline myopathy 10  616165
2822,MAP3K20,Congenital myopathy,gene_panel_225,"Centronuclear myopathy 6 with fiber-type disproportion, OMIM:617760;Myopathy, centronuclear, 6, with fiber-type disproportion, MONDO:0054695"
2823,MEGF10,Congenital myopathy,gene_panel_225,"Myopathy, Early-Onset, Areflexia, Respiratory Distress, andDysphagia;Myopathy, areflexia, respiratory distress, and dysphagia, early-onset, 614399"
2824,MICU1,Congenital myopathy,gene_panel_225,"Myopathy with extrapyramidal signs, 615673"
2825,MTM1,Congenital myopathy,gene_panel_225,"X-linked myotubular myopathy;Myotubular myopathy, X-linked, 310400"
2826,MYBPC1,Congenital myopathy,gene_panel_225,"Arthrogryposis, distal, type 1B, 614335;Lethal congenital contracture syndrome 4, 614915"
2827,MYH2,Congenital myopathy,gene_panel_225,"Proximal myopathy and ophthalmoplegia, OMIM:605637;Myopathy, proximal, and ophthalmoplegia, MONDO:0011577"
2828,MYH3,Congenital myopathy,gene_panel_225,"Arthrogryposis, distal, type 2A 193700;Arthrogryposis, distal, type 2B 601680;Arthrogryposis, distal, type 8 178110"
2829,MYH7,Congenital myopathy,gene_panel_225,"Laing distal myopathy, OMIM:160500;Laing early-onset distal myopathy, MONDO:0008050;Myopathy, myosin storage, autosomal dominant, OMIM:608358;Myopathy, myosin storage, autosomal dominant, MONDO:0012018"
2830,MYH8,Congenital myopathy,gene_panel_225,"Trismus-pseudocamptodactyly syndrome, OMIM:158300"
2831,MYL1,Congenital myopathy,gene_panel_225,"Myopathy, congenital, with fast-twitch (type II) fiber atrophy, OMIM:618414;Congenital myopathy with reduced type 2 muscle fibers, MONDO:0034109"
2832,MYMK,Congenital myopathy,gene_panel_225,"Carey-Fineman-Ziter syndrome, OMIM:254940;Carey-Fineman-Ziter syndrome, MONDO:0009700"
2833,MYO18B,Congenital myopathy,gene_panel_225,"Klippel-Feil syndrome 4, autosomal recessive, with myopathy and facial dysmorphism, OMIM:616549;Klippel-Feil anomaly-myopathy-facial dysmorphism syndrome, MONDO:0014689"
2834,MYPN,Congenital myopathy,gene_panel_225,"Congenital cap myopathy;Nemaline myopathy, 617336"
2835,NEB,Congenital myopathy,gene_panel_225,"nemaline myopathy;Nemaline Myopathy, Recessive;Nemaline myopathy 2, autosomal recessive, 256030"
2836,ORAI1,Congenital myopathy,gene_panel_225,"Myopathy, tubular aggregate, 2 615883"
2837,PAX7,Congenital myopathy,gene_panel_225,"Hypotonia;Axial hypotonia;Ptosis;Scoliosis;Delayed motor milestones;Myopathy, congenital, progressive, with scoliosis, 618578"
2838,PIEZO2,Congenital myopathy,gene_panel_225,"Arthrogryposis, distal, type 3, 114300: Arthrogryposis, distal, type 5, 108145: Arthrogryposis, distal, with proprioception and touch, 617146"
2839,PYROXD1,Congenital myopathy,gene_panel_225,"Myopathy, myofibrillar, 8, 617258;myopathy;early-onset myopathy with internalized nuclei and myofibrillar disorganization"
2840,RYR1,Congenital myopathy,gene_panel_225,"Central core disease 117000;Minicore myopathy with external ophthalmoplegia 255320;Neuromuscular disease, congenital, with uniform type 1 fiber 117000;Malignant hyperthermia susceptibility 1 145600"
2841,RYR3,Congenital myopathy,gene_panel_225,childhood-onset nemaline myopathy
2842,SCN4A,Congenital myopathy,gene_panel_225,congenital myopathy
2843,SELENON,Congenital myopathy,gene_panel_225,"Muscular dystrophy, rigid spine, 1 602771;Myopathy, congenital, with fiber-type disproportion 255310"
2844,SLC25A4,Congenital myopathy,gene_panel_225,"itochondrial myopathy;Mitochondrial DNA depletion syndrome 12A (cardiomyopathic type) AD 617184;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 2 60928"
2845,SPEG,Congenital myopathy,gene_panel_225,Centronuclear myopathy 5  615959
2846,STAC3,Congenital myopathy,gene_panel_225,"Myopathy, congenital, Baily-Bloch, 255995"
2847,STIM1,Congenital myopathy,gene_panel_225,"Myopathy, tubular aggregate, 160565"
2848,TNNI2,Congenital myopathy,gene_panel_225,"Arthrogryposis multiplex congenita, distal, type 2B, 601680"
2849,TNNT1,Congenital myopathy,gene_panel_225,"nemaline myopathy;Nemaline Myopathy, Recessive;Nemaline myopathy 5, Amish type, 605355"
2850,TNNT3,Congenital myopathy,gene_panel_225,"Arthrogryposis, distal, type 2B2, OMIM:618435;Arthrogryposis, distal, type 2B2, MONDO:0032750"
2851,TPM2,Congenital myopathy,gene_panel_225,"CAP myopathy 2, OMIM:609285;Nemaline myopathy 4, autosomal dominant, OMIM:609285;Congenital myopathy, MONDO:0019952;Multiple pterygium syndrome, MONDO:0017415"
2852,TPM3,Congenital myopathy,gene_panel_225,"CAP myopathy 1 609284;Myopathy, congenital, with fiber-type disproportion 255310;Nemaline myopathy 1, autosomal dominant or recessive 609284"
2853,TRIP4,Congenital myopathy,gene_panel_225,"Spinal muscular atrophy with congenital bone fractures 1, OMIM:616866;Prenatal-onset spinal muscular atrophy with congenital bone fractures, MONDO:0000209;Spinal muscular atrophy with congenital bone fractures 1, MONDO:0014806;?Muscular dystrophy, congenital, Davignon-Chauveau type, OMIM:617066;Congenital muscular dystrophy-respiratory failure-skin abnormalities-joint hyperlaxity syndrome, MONDO:0014896"
2854,TTN,Congenital myopathy,gene_panel_225,"Myopathy, early-onset, with fatal cardiomyopathy, 611705"
2855,VMA21,Congenital myopathy,gene_panel_225,vacuolar myopathy?
2885,ADCY5,Skeletal Muscle Channelopathies,gene_panel_229,"Dyskinesia, familial, with facial myokymia, 606703"
2886,ATP1A2,Skeletal Muscle Channelopathies,gene_panel_229,"Migraine, familial hemiplegic, 2, 602481;Alternating hemiplegia of childhood 1, 104290;Hypokalaemic periodic paralysis"
2887,ATP2A1,Skeletal Muscle Channelopathies,gene_panel_229,Brody myopathy 601003
2888,CACNA1A,Skeletal Muscle Channelopathies,gene_panel_229,"Episodic ataxia, type 2, OMIM:108500;Migraine, familial hemiplegic, 1, OMIM:141500;Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia, OMIM:141500"
2889,CACNA1S,Skeletal Muscle Channelopathies,gene_panel_229,"Hypokalemic periodic paralysis, type 1, 170400"
2890,CLCN1,Skeletal Muscle Channelopathies,gene_panel_229,"Myotonia congenita, recessive, 255700; Myotonia congenita, dominant, 160800; Myotonia levior, recessive;Myotonia Congenita;Hyperkalemic Periodic Paralysis;Myotonia"
2891,KCNA1,Skeletal Muscle Channelopathies,gene_panel_229,"Episodic ataxia/myokymia syndrome, 160120;Episodic Ataxia; Myokymia;Episodic Ataxia, Type 1; EA1"
2892,KCNJ2,Skeletal Muscle Channelopathies,gene_panel_229,"Andersen syndrome, OMIM:170390;Andersen-Tawil syndrome, MONDO:0008222;Episodic weakness;Periodic paralysis"
2893,MT-ATP6,Skeletal Muscle Channelopathies,gene_panel_229,NA
2894,MT-ATP8,Skeletal Muscle Channelopathies,gene_panel_229,NA
2895,PYGM,Skeletal Muscle Channelopathies,gene_panel_229,"McArdle disease, 232600"
2896,RYR1,Skeletal Muscle Channelopathies,gene_panel_229,NA
2897,SCN4A,Skeletal Muscle Channelopathies,gene_panel_229,"Hyperkalemic periodic paralysis, type 2, 170500;Myasthenic syndrome, acetazolamide-responsive, 614198;Hypokalemic periodic paralysis, type 2, 613;Potassium-Aggravated Myotonia;Hyperkalemic Periodic Paralysis;Hypokalemic Periodic Paralysis;Thyrotoxic Periodic Paralysis, Susceptibility To, 2;Myotonia;Episodic weakness"
2898,SLC1A3,Skeletal Muscle Channelopathies,gene_panel_229,"Episodic ataxia, type 6, 612656;Episodic Ataxia"
2899,SLC2A1,Skeletal Muscle Channelopathies,gene_panel_229,"Epilepsy, idiopathic generalized, susceptibility to, 12, 614847;Can resemble skeletal muscle channelopathy;GLUT1 deficiency syndrome 1, infantile onset, severe, 606777 (recessive and dominant).;GLUT1 deficiency syndrome 2, childhood onset, 612126;myotonia;dystonia"
3017,AGRN,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, OMIM:615120"
3018,ALG14,Congenital myaesthenic syndrome,gene_panel_232,"?Myasthenic syndrome, congenital, 15, without tubular aggregates, OMIM:616227"
3019,ALG2,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 14, with tubular aggregates, OMIM:616228"
3020,CHAT,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 6, presynaptic, OMIM:254210"
3021,CHRNA1,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 1A, slow-channel, OMIM:601462;Myasthenic syndrome, congenital, 1B, fast-channel, OMIM:608930"
3022,CHRNB1,Congenital myaesthenic syndrome,gene_panel_232,"?Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency, OMIM:616314;Myasthenic syndrome, congenital, 2A, slow-channel, OMIM:616313"
3023,CHRND,Congenital myaesthenic syndrome,gene_panel_232,"?Myasthenic syndrome, congenital, 3A, slow-channel, OMIM:616321;?Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency, OMIM:616323;Myasthenic syndrome, congenital, 3B, fast-channel, OMIM:616322"
3024,CHRNE,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 4A, slow-channel, OMIM:605809;Myasthenic syndrome, congenital, 4B, fast-channel, OMIM:616324;Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency, OMIM:608931"
3025,CHRNG,Congenital myaesthenic syndrome,gene_panel_232,"transient neonatal myasthenia gravis, MONDO:0018326"
3026,COL13A1,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 19, OMIM:616720"
3027,COLQ,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 5, OMIM:603034"
3028,DOK7,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 10, OMIM:254300"
3029,DPAGT1,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 13, with tubular aggregates, OMIM:614750"
3030,GFPT1,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenia, congenital, 12, with tubular aggregates, OMIM:610542"
3031,GMPPB,Congenital myaesthenic syndrome,gene_panel_232,"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 14 OMIM:615352;autosomal recessive limb-girdle muscular dystrophy type 2T MONDO:0014142"
3032,LRP4,Congenital myaesthenic syndrome,gene_panel_232,"?Myasthenic syndrome, congenital, 17, OMIM:616304"
3033,MUSK,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency, OMIM:616325"
3034,MYO9A,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 24, presynaptic, OMIM:618198;Myasthenic syndrome, congenital, 24, presynaptic, MONDO:0032597"
3035,PLEC,Congenital myaesthenic syndrome,gene_panel_232,Congenital myasthenic syndrome;Plectin deficiency;Congenital myasthenic syndrome associatedwith epidermolysis bullosa (EBS)
3036,RAPSN,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 11, associated with acetylcholine receptor deficiency, OMIM:616326"
3037,SLC18A3,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 21, presynaptic, OMIM:617239"
3038,SLC25A1,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 23, presynaptic, OMIM:618197"
3039,SLC5A7,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 20, presynaptic, OMIM:617143"
3040,SYT2,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 7, presynaptic, OMIM:616040"
3041,VAMP1,Congenital myaesthenic syndrome,gene_panel_232,"Myasthenic syndrome, congenital, 25, OMIM:618323"
3098,ACTA1,Distal myopathies,gene_panel_235,"Nemaline myopathy 3, autosomal dominant or recessive, OMIM:161800"
3099,ANO5,Distal myopathies,gene_panel_235,"Miyoshi muscular dystrophy 3, 613319"
3100,BAG3,Distal myopathies,gene_panel_235,"myofibrillar myopathy 6, 612954"
3101,CNBP,Distal myopathies,gene_panel_235,"Myotonic dystrophy 2, OMIM:602668;Myotonic dystrophy type 2, MONDO:0011266"
3102,CRYAB,Distal myopathies,gene_panel_235,"Myopathy, myofibrillar, 2, OMIM:608810;Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, OMIM:613869"
3103,DES,Distal myopathies,gene_panel_235,"Myopathy, myofibrillar 1, 601419"
3104,DNAJB6,Distal myopathies,gene_panel_235,"limb-girdle muscular dystrophy type 1E, 603511"
3105,DNM2,Distal myopathies,gene_panel_235,"Centronuclear myopathy 1, OMIM:160150"
3106,DYSF,Distal myopathies,gene_panel_235,"Miyoshi muscular dystrophy 1, 254130"
3107,FHL1,Distal myopathies,gene_panel_235,"Reducing body myopathy, X-linked 1b, with late childhood or adult onset, 300718"
3108,FLNC,Distal myopathies,gene_panel_235,"Myopathy, distal, 4, OMIM:614065;Distal myopathy with posterior leg and anterior hand involvement, MONDO:0013550;Myopathy, myofibrillar, 5, OMIM:609524;Myopathy, myofibrillar, 5, MONDO:0012289"
3109,GNE,Distal myopathies,gene_panel_235,"Nonaka myopathy, 605820"
3110,HSPB1,Distal myopathies,gene_panel_235,"Neuropathy, distal hereditary motor type IIB, 608634"
3111,HSPB8,Distal myopathies,gene_panel_235,"Neuropathy, distal hereditary motor type IIA, 158590; distal myopathy"
3112,LDB3,Distal myopathies,gene_panel_235,"Myopathy, myofibrillar 4, 609452"
3113,MATR3,Distal myopathies,gene_panel_235,Distal Myopathy
3114,MYH7,Distal myopathies,gene_panel_235,"Laing distal myopathy, OMIM:160500;Laing early-onset distal myopathy, MONDO:0008050;Scapuloperoneal syndrome, myopathic type, OMIM:181430;MYH7-related late-onset scapuloperoneal muscular dystrophy, MONDO:0008409"
3115,MYOT,Distal myopathies,gene_panel_235,"Myopathy, myofibrillar 3, 609200"
3116,NEB,Distal myopathies,gene_panel_235,"Nemaline myopathy 2, 256030"
3117,SQSTM1,Distal myopathies,gene_panel_235,"Dystal Myopathy with rimmed vacuoles, 617158"
3118,TIA1,Distal myopathies,gene_panel_235,"Welander distal myopathy, 604454"
3119,TTN,Distal myopathies,gene_panel_235,"Tibial muscular dystrophy, tardive, 600334"
3120,VCP,Distal myopathies,gene_panel_235,"Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia 1, 167320"
7003,ARHGAP31,Limb disorders,gene_panel_384,"Adams-Oliver syndrome 1, 100300"
7004,ARL6,Limb disorders,gene_panel_384,Polydactyly;Bardet-Biedl syndrome 3 600151
7005,ARSE,Limb disorders,gene_panel_384,"CDPXL;Chondrodysplasia punctata, X-linked recessive, 302950;X-linked recessive chondrodysplasia punctata;CHONDRODYSPLASIA PUNCTATA 1, X-LINKED"
7006,ASXL1,Limb disorders,gene_panel_384,"Bohring-Opitz syndrome, 605039"
7007,BBS1,Limb disorders,gene_panel_384,Polydactyly;Bardet-Biedl syndrome 1 OMIM:209900;Bardet-Biedl syndrome 1 MONDO:0008854
7008,BBS10,Limb disorders,gene_panel_384,"Polydactyly;Bardet Biedl syndrome 10, 615987"
7009,BBS12,Limb disorders,gene_panel_384,"Polydactyly;Bardet Biedl syndrome 12, 615989"
7010,BBS2,Limb disorders,gene_panel_384,"Polydactyly;Bardet-Biedl syndrome 2, 615981"
7011,BBS4,Limb disorders,gene_panel_384,"Polydactyly;Bardet-Biedl syndrome 4, 615982"
7012,BBS5,Limb disorders,gene_panel_384,"Polydactyly;Bardet Biedl syndrome 5, 615983"
7013,BBS7,Limb disorders,gene_panel_384,"Polydactyly;Bardet-Biedl syndrome 7, 615984"
7014,BBS9,Limb disorders,gene_panel_384,"Polydactyly;Bardet Biedl syndrome 9, 615986"
7015,BHLHA9,Limb disorders,gene_panel_384,"Syndactyly, mesoaxial synostotic, with phalangeal reduction, 609432;Polydactyly"
7016,BMP2,Limb disorders,gene_panel_384,"Brachydactyly, type A2 112600;Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies 617877"
7017,BMP4,Limb disorders,gene_panel_384,"Polydactyly;Microphthalmia, syndromic 6 607932"
7018,BMPR1B,Limb disorders,gene_panel_384,"Acromesomelic dysplasia, Demirhan type, OMIM:609441;Brachydactyly, type A1, D, OMIM:616849;Brachydactyly, type A2, OMIM:112600"
7019,BRCA2,Limb disorders,gene_panel_384,"Fanconi anemia, complementation group D1, OMIM:605724"
7020,BRIP1,Limb disorders,gene_panel_384,"Fanconi anemia, complementation group J, OMIM:609054;Radial ray abnormality"
7021,CCND2,Limb disorders,gene_panel_384,Polydactyly;Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3 615938
7022,CENPF,Limb disorders,gene_panel_384,Polydactyly;Stromme syndrome 243605
7023,CEP55,Limb disorders,gene_panel_384,"microcephaly, developmental delay and bilateral toe syndactyly"
7024,CHSY1,Limb disorders,gene_panel_384,Temtamy preaxial brachydactyly syndrome 605282
7025,CKAP2L,Limb disorders,gene_panel_384,"Polydactyly;Filippi syndrome 272440;FILIPPI SYNDROME. SYNDACTYLY, TYPE I, WITH MICROCEPHALY AND MENTAL RETARDATION"
7026,COL2A1,Limb disorders,gene_panel_384,"Platyspondylic skeletal dysplasia, Torrance type 151210;Achondrogenesis, type II or hypochondrogenesis 200610;Spondyloperipheral dysplasia 271700"
7027,DDX59,Limb disorders,gene_panel_384,Orofaciodigital syndrome V 174300;Polydactyly
7028,DLL4,Limb disorders,gene_panel_384,Adams-Oliver syndrome 6 616589
7029,DLX5,Limb disorders,gene_panel_384,"?Split-hand/foot malformation 1 with sensorineural hearing loss, OMIM:220600;Split-hand/foot malformation 1, OMIM:183600"
7030,DOCK6,Limb disorders,gene_panel_384,"Adams-Oliver syndrome 2, 614219"
7031,DVL1,Limb disorders,gene_panel_384,"Robinow syndrome, autosomal dominant 2, 616331"
7032,DVL3,Limb disorders,gene_panel_384,"Robinow syndrome, autosomal dominant 3 616894"
7033,EBP,Limb disorders,gene_panel_384,"Polydactyly;Chondrodysplasia punctata, X-linked dominant 302960"
7034,EFTUD2,Limb disorders,gene_panel_384,NA
7035,EOGT,Limb disorders,gene_panel_384,"Adams Oliver syndrome 4, 615297"
7036,ERCC4,Limb disorders,gene_panel_384,"Fanconi anemia, complementation group Q, 615272;Radial Ray abnormality"
7037,ESCO2,Limb disorders,gene_panel_384,"absence of radii, SC phocomelia syndrome, 269000;Roberts syndrome, 268300;radial aplasia"
7038,FAM58A,Limb disorders,gene_panel_384,"STAR syndrome, 300707"
7039,FANCA,Limb disorders,gene_panel_384,"Fanconi anemia, complementation group A, 227650;Radial Ray abnormality"
7040,FANCB,Limb disorders,gene_panel_384,"Fanconi anemia, complementation group B, 300514;VACTERL Association with Hydrocephalus;Vacterl Association, X-Linked, With Or Without Hydrocephalus;Fanconi Anemia, Complementation Group B;VACTERL-Hydrocephalus Syndrome;Fanconi Anemia, X-Linked;Radial Ray abnormality;Fanconi Anemia Type B"
7041,FANCC,Limb disorders,gene_panel_384,"Fanconi anemia, complementation group C, 227645;Radial Ray abnormality"
7042,FANCD2,Limb disorders,gene_panel_384,"Fanconi anemia, complementation group D2, 227646;Radial Ray abnormality"
7043,FANCE,Limb disorders,gene_panel_384,"Fanconi anemia, complementation group E, 600901;Radial Ray abnormality"
7044,FANCF,Limb disorders,gene_panel_384,"Fanconi anemia, complementation group F, 603467;Radial Ray abnormality"
7045,FANCG,Limb disorders,gene_panel_384,"Radial Ray abnormality;Fanconi anemia, complementation group G, 614082"
7046,FANCI,Limb disorders,gene_panel_384,"Fanconi anemia, complementation group I, 609053;Radial Ray abnormality"
7047,FANCL,Limb disorders,gene_panel_384,"Radial Ray abnormality;Fanconi anemia, complementation group L, 614083"
7048,FGD1,Limb disorders,gene_panel_384,Aarskog-Scott syndrome 305400
7049,FGF10,Limb disorders,gene_panel_384,"Polydactyly;Limb defects most often involved the thumbs, ranging from total aplasia to hypoplastic, digitalized, triphalangeal, and duplicated thumbs;LADD syndrome 149730;LADD syndrome, 149730;short radius"
7050,FGF16,Limb disorders,gene_panel_384,"Metacarpal 4-5 fusion, 309630"
7051,FGFR1,Limb disorders,gene_panel_384,"Encephalocraniocutaneous lipomatosis, somatic mosaism, 613001;Hartsfield syndrome, 615465;Hypogonadotropic hypogonadism 2 with or without anosmia, 147950;Jackson-Weiss syndrome, 123150;Osteoglophonic dysplasia, 166250;Pfeiffer syndrome,101600;Trigonocephaly 1,190440;Polydactyly"
7052,FGFR2,Limb disorders,gene_panel_384,"Polydactyly;LADD syndrome 149730;LADD syndrome, 149730;Craniosynostosis, nonspecific Crouzon syndrome 123500;short radius;Craniofacial-skeletal-dermatologic dysplasia 101600;Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis 207410;Gastric cancer, somatic 613659;Beare-Stevenson cutis gyrata syndrome 123790;Jackson-Weiss syndrome 123150;Pfeiffer syndrome 101600;Bent bone dysplasia syndrome 614592;Limb defects most often involved the thumbs, ranging from total aplasia to hypoplastic, digitalized, triphalangeal, and duplicated thumbs;Apert syndrome 101200"
7053,FGFR3,Limb disorders,gene_panel_384,"Thanatophoric dysplasia, type II 187601;Polydactyly;LADD syndrome 149730;LADD syndrome, 149730;short radius;Achondroplasia 100800;SADDAN 616482;Thanatophoric dysplasia, type I 187600;Limb defects most often involved the thumbs, ranging from total aplasia to hypoplastic, digitalized, triphalangeal, and duplicated thumbs;Hypochondroplasia 146000;CATSHL syndrome 610474;Crouzon syndrome with acanthosis nigricans 612247;Muenke syndrome 602849"
7054,FIG4,Limb disorders,gene_panel_384,Yunis Varon syndrome OMIM:216340;Yunis-Varon syndrome MONDO:0008995
7055,FLNA,Limb disorders,gene_panel_384,"Frontometaphyseal dysplasia 1, OMIM:305620;Melnick-Needles syndrome, OMIM:309350;Otopalatodigital syndrome, type I, OMIM:311300;Otopalatodigital syndrome, type II, OMIM:304120;Terminal osseous dysplasia, OMIM:300244"
7056,FRAS1,Limb disorders,gene_panel_384,Fraser syndrome 1 219000;Polydactyly
7057,FREM2,Limb disorders,gene_panel_384,Fraser syndrome 2 617666;Polydactyly
7058,FZD2,Limb disorders,gene_panel_384,"Omodysplasia 2, OMIM:164745;Robinow syndrome"
7059,GDF5,Limb disorders,gene_panel_384,"Acromesomelic dysplasia, Hunter-Thompson type 201250;Brachydactyly, type A1, C 615072;Brachydactyly, type A2 112600;Brachydactyly, type C 113100;Chondrodysplasia, Grebe type 200700;Du Pan syndrome 228900;Multiple synostoses syndrome 2 610017;Symphalangism, proximal, 1B 615298;{Osteoarthritis-5} 612400;Polydactyly"
7060,GJA1,Limb disorders,gene_panel_384,"Craniometaphyseal dysplasia, autosomal recessive, OMIM:218400;Oculodentodigital dysplasia, OMIM:164200;Oculodentodigital dysplasia, autosomal recessive, OMIM:257850;Syndactyly, type III, OMIM:186100"
7061,GLI1,Limb disorders,gene_panel_384,"Polydactyly, postaxial, type A8, 618123;Polydactyly, preaxial I, 174400"
7062,GLI2,Limb disorders,gene_panel_384,Holoprosencephaly 9 610829;Culler-Jones syndrome 615849;Polydactyly
7063,GLI3,Limb disorders,gene_panel_384,"Greig cephalopolysyndactyly syndrome 175700;Pallister-Hall syndrome 146510;Polydactyly, postaxial, types A1 and B 174200;Polydactyly, preaxial, type IV 174700;{Hypothalamic hamartomas, somatic} 241800;Polydactyly"
